Asian,Black,Hispanic,Native,Pacific,Multiple,Undisclosed,White,Non_Resident
512,157,149,3,1,22,57,2559,202
352,29,60,1,2,11,38,681,739
14,1,5,0,0,2,6,127,3
592,774,1041,9,8,69,331,3116,79
287,694,1245,6,1,21,156,704,80
